39,13,Never-married,Administrative-clerical,Male,40,No
50,13,Married-civ-spouse,Executive-managerial,Male,13,No
38,9,Divorced,Handlers-cleaners,Male,40,No
53,7,Married-civ-spouse,Handlers-cleaners,Male,40,No
37,14,Married-civ-spouse,Executive-managerial,Female,40,No
52,9,Married-civ-spouse,Executive-managerial,Male,45,Yes
31,14,Never-married,Professional,Female,50,Yes
42,13,Married-civ-spouse,Executive-managerial,Male,40,Yes
37,10,Married-civ-spouse,Executive-managerial,Male,80,Yes
23,13,Never-married,Administrative-clerical,Female,30,No
32,12,Never-married,Sales,Male,50,No
25,9,Never-married,Farming-fishing,Male,35,No
32,9,Never-married,Machine-inspection,Male,40,No
38,7,Married-civ-spouse,Sales,Male,50,No
43,14,Divorced,Executive-managerial,Female,45,Yes
40,16,Married-civ-spouse,Professional,Male,60,Yes
54,9,Separated,Other,Female,20,No
35,5,Married-civ-spouse,Farming-fishing,Male,40,No
43,7,Married-civ-spouse,Transport-moving,Male,40,No
59,9,Divorced,Tech-support,Female,40,No
56,13,Married-civ-spouse,Tech-support,Male,40,Yes
19,9,Never-married,Craft-repair,Male,40,No
39,9,Divorced,Executive-managerial,Male,80,No
49,9,Married-civ-spouse,Craft-repair,Male,40,No
23,12,Never-married,Protect-service,Male,52,No
20,10,Never-married,Sales,Male,44,No
45,13,Divorced,Executive-managerial,Male,40,No
30,10,Married-civ-spouse,Administrative-clerical,Male,40,No
22,10,Married-civ-spouse,Other,Male,15,No
21,10,Never-married,Machine-inspection,Male,40,No
19,9,Married-AF-spouse,Administrative-clerical,Female,25,No
48,12,Married-civ-spouse,Professional,Male,40,No
31,5,Married-civ-spouse,Machine-inspection,Male,43,No
53,13,Married-civ-spouse,Professional,Male,40,No
24,13,Married-civ-spouse,Tech-support,Male,50,No
49,9,Separated,Administrative-clerical,Female,40,No
25,9,Never-married,Handlers-cleaners,Male,35,No
57,13,Married-civ-spouse,Professional,Male,40,Yes
53,9,Married-civ-spouse,Machine-inspection,Male,38,No
44,14,Divorced,Executive-managerial,Female,40,No
41,11,Married-civ-spouse,Craft-repair,Male,40,No
29,11,Never-married,Professional,Male,43,No
25,10,Married-civ-spouse,Executive-managerial,Female,40,No
50,13,Divorced,Executive-managerial,Male,55,Yes
47,9,Divorced,Executive-managerial,Male,60,No
43,10,Married-civ-spouse,Tech-support,Male,40,Yes
41,9,Married-civ-spouse,Administrative-clerical,Male,48,No
30,9,Married-civ-spouse,Machine-inspection,Male,40,No
30,13,Married-civ-spouse,Sales,Male,40,No
48,9,Married-civ-spouse,Transport-moving,Male,40,No
42,16,Married-civ-spouse,Professional,Male,45,Yes
